,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00000250,222,205,206,146,223,376,449,269,391,343,325,0,424,12,6,48,558,61,322,152,1088,0
WBGene00000251,18599,14311,22386,14013,23024,13573,15222,11596,14163,28682,3783,0,19840,339,431,394,641,233,2391,721,599,3354
WBGene00000252,14390,11791,21205,9931,16842,11582,12788,16309,14239,32997,10113,11117,119273,869,3102,2019,5457,711,10883,2474,1602,14328
WBGene00000253,1712,1472,1036,906,1155,1673,1658,967,1072,1081,385,0,1225,1000,422,66,1699,343,11,630,540,1
WBGene00000254,8423,6814,7589,4969,8563,8277,8789,5339,6358,7997,2065,907,5294,2900,1501,975,5390,378,951,3991,9563,627
WBGene00000255,201,176,297,176,253,157,170,321,260,310,186,0,435,51,48,144,85,678,206,713,104,712
WBGene00000256,25343,24449,20130,12932,23522,29422,37999,10781,36323,92347,7624,28830,711852,49040,28847,21443,56366,9025,206807,27436,79799,189802
WBGene00000257,1863,1773,1940,934,1314,2175,3108,1568,2020,2454,1469,6417,1641,274,391,311,2735,222,1236,1903,4822,176
WBGene00000259,1003,851,891,519,787,1091,1113,1132,837,743,835,15185,5219,6683,17210,7351,8746,11708,6257,14490,12789,1993
WBGene00000262,179,156,151,70,119,135,120,172,124,128,192,0,121,376,348,310,234,210,269,307,342,470
WBGene00000263,11861,11489,10916,6390,7990,9676,10720,14634,13060,15211,22759,1643,2346,1990,1274,1545,2833,357,883,3750,2576,1247
WBGene00000264,424,372,313,244,287,604,722,368,464,476,363,0,241,33,131,235,449,40,166,439,1293,2
WBGene00000265,536,498,492,267,361,806,872,460,591,629,412,8618,1938,46,177,2,2682,0,1049,1715,4428,947
WBGene00000266,2922,2800,3443,1878,2428,3088,2832,4892,2808,3008,3306,0,8165,11427,4041,2855,6375,1535,972,6465,1910,5888
WBGene00000267,121,92,100,37,73,131,105,114,70,53,80,0,67,240,98,0,105,83,27,30,86,20
WBGene00000268,1974,1805,1236,844,1393,2371,2591,962,1749,1736,367,2,1274,245,727,971,1892,784,1649,1405,3507,566
WBGene00000269,635,566,499,359,505,640,677,466,541,653,348,0,460,209,320,322,679,139,727,323,658,1521
WBGene00000270,326,346,311,153,221,362,375,407,295,284,240,0,1760,265,508,71,1459,7,750,1913,2840,152
WBGene00000271,1090,996,781,528,654,1264,1501,797,1091,991,684,2108,947,125,625,453,1441,570,550,959,4078,293
WBGene00000272,58,68,31,36,83,41,38,19,18,26,35,0,79,270,76,54,15,0,0,95,22,7
WBGene00000273,10065,9280,8445,7193,11366,9257,10421,6686,9536,10152,2393,1,4772,6313,1969,1592,5073,491,958,4056,4247,880
WBGene00000274,1756,1617,1479,935,1360,1915,2125,1451,1401,1741,1195,4,2014,892,970,700,3356,374,1265,2101,5548,46
WBGene00000275,3023,2715,2932,1345,1901,3604,4820,3036,3409,4294,2717,304,3381,754,1050,891,5362,189,1988,4058,9057,321
WBGene00000276,5018,4422,4102,2314,3042,4721,4866,4780,4187,4506,4607,9786,4065,3048,2728,1391,4093,1052,1061,4220,4659,1358
WBGene00000277,5102,5214,3363,1666,3956,3912,4322,2510,3886,4364,1367,126864,10292,114385,168786,113816,167432,98885,106302,202155,127445,52569
WBGene00000279,67,73,46,34,67,78,69,57,70,46,55,0,105,1773,2380,1693,1040,1211,740,1164,738,11
WBGene00000280,111,101,94,47,74,97,106,81,79,73,40,24,97,1228,1363,1215,1044,3380,655,2380,811,1909
WBGene00000281,3060,3019,2682,1422,1947,2522,2506,3810,2747,2992,3198,4494,23338,3089,4525,2949,3250,2303,2170,5845,5387,6594
WBGene00000282,6872,6223,5308,7359,10572,6243,6367,5379,6783,6529,7673,6115,3562,2199,2973,2025,5308,2011,2083,8156,5033,3634
WBGene00000283,1325,1159,1210,280,491,1190,1285,1591,1373,1414,859,0,451,256,236,52,1415,87,228,877,660,1537
WBGene00000284,316,285,248,129,413,228,222,163,244,199,235,4921,120,2106,2885,2491,2781,2235,1337,3721,3061,1269
WBGene00000285,348,339,348,229,458,287,259,432,287,209,548,0,209,502,90,122,229,592,64,104,202,530
WBGene00000286,353,325,560,391,827,285,235,543,246,196,503,9111,345,1590,704,523,608,409,523,1430,1415,2790
WBGene00000287,277,304,34,16,47,168,169,108,222,117,131,0,80,220,146,307,225,260,81,155,119,196
WBGene00000288,386,317,244,74,239,259,264,218,269,167,171,7631,325,10129,16873,11114,7761,18484,9827,9073,6822,3729
WBGene00000289,1511,1415,1279,423,904,1365,1451,1216,1131,1358,553,0,1756,3594,5146,4931,2688,2403,2674,4290,5479,2123
WBGene00000292,3090,2754,2904,1777,2867,3199,3098,3091,3042,2964,2723,4737,1778,2414,2223,1855,2826,902,954,3514,3374,929
WBGene00000293,4170,3715,4028,1922,3647,3612,4141,3890,3586,4323,4074,17773,2714,4465,6782,6281,5776,2613,4772,5990,6590,4538
WBGene00000294,4072,3758,4563,2929,5615,3459,3874,4205,2960,3747,4688,2,5985,2798,2138,1263,7625,816,2108,6014,3523,468
WBGene00000295,83,79,69,45,107,74,101,51,100,90,42,1,76,233,174,162,444,262,350,309,100,46
WBGene00000296,74,61,86,46,101,39,57,56,56,40,66,0,13,123,614,129,644,54,183,539,119,0
WBGene00000298,2438,2468,1223,595,844,2145,2196,3328,2601,1723,1990,0,645,524,207,432,697,406,102,942,700,3102
WBGene00000301,36,26,40,24,31,41,81,16,51,104,15,0,0,152,35,17,44,21,110,344,102,66
WBGene00000302,117,97,105,60,112,89,65,63,64,50,50,0,497,299,232,0,155,17,79,88,197,1
WBGene00000308,0,0,1,3,4,0,0,4,0,0,0,0,2,0,2,6,0,0,0,0,6,1
WBGene00000310,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0
WBGene00000311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000366,6026,5541,2712,2235,4399,5477,6326,2134,3578,4206,932,19583,2420,5392,10161,6684,6286,5532,5534,6508,9534,1441
WBGene00000367,1091,891,413,234,704,880,806,286,568,493,135,14047,674,4809,5091,3849,2736,3718,2405,3690,4105,2012
WBGene00000368,1022,969,885,471,1011,817,762,663,699,768,554,167,398,3865,4025,3830,3245,3369,2782,3324,3722,176
WBGene00000369,2554,2222,1962,1318,1763,2281,2480,1897,2593,3029,2284,3912,2496,1841,845,1477,2591,440,1139,1792,3998,1791
WBGene00000370,3602,3395,3357,1442,3633,3215,3560,3340,3392,3195,2390,25545,49319,28340,11714,9205,23261,3468,7805,16321,12773,51119
WBGene00000371,16750,15962,19386,9168,12316,14150,14784,25872,16281,20264,30070,2600,10104,9006,4327,5099,8182,2689,3576,9970,7113,4907
WBGene00000372,70,82,48,55,29,126,107,87,104,51,23,0,255,335,230,115,46,13,30,223,267,0
WBGene00000373,428,435,296,234,407,621,599,411,427,344,163,0,937,618,476,591,826,153,0,784,244,580
WBGene00000374,1256,1300,918,578,872,978,911,1128,725,790,762,1,663,1329,754,1061,1552,382,759,1648,1139,1071
WBGene00000375,616,473,492,346,355,687,809,683,567,546,580,0,3167,2212,1168,442,867,812,507,1339,1564,588
WBGene00000376,5110,4394,3511,2656,3958,5545,6193,2867,4631,5566,1797,5077,2851,5161,11054,7572,7365,6621,5022,6666,5159,4151
WBGene00000377,12896,10190,15705,8171,11797,11087,12432,13886,10508,13000,12515,8981,7482,5474,8016,6656,13473,2799,3603,12060,12040,1992
WBGene00000378,11163,8747,11891,7078,9990,9255,10972,11041,10676,12768,12527,2,8741,6606,9100,6094,14148,3207,5743,13619,13734,6322
WBGene00000379,11795,9409,13949,7420,10456,11274,11649,14192,10296,12014,11355,24492,8604,9585,8641,7090,18918,4421,5597,19142,16101,6066
WBGene00000380,21045,16713,25817,12738,17877,18746,20427,25257,18685,22098,22719,40413,12384,17804,15051,14195,25059,5188,8437,22966,20711,9029
WBGene00000381,10889,8621,11918,6363,9212,10193,11042,10475,10457,12015,9669,4033,6826,6006,4704,5640,10391,2980,4246,10438,10989,3704
WBGene00000382,1174,963,1038,579,758,1359,1464,1288,1290,1211,1015,0,706,299,53,231,841,339,385,501,1620,14
WBGene00000383,1995,1899,1527,1062,1840,2145,2457,1353,1705,1702,942,0,1322,3849,7118,4578,2771,3667,8489,3462,6640,24
WBGene00000386,1686,1380,1592,739,1053,2254,2927,1638,2268,2533,1546,0,1720,1363,465,1411,2954,636,1271,3416,7187,39
WBGene00000387,517,448,491,556,855,446,452,454,354,374,389,0,224,375,67,246,67,25,127,22,260,198
WBGene00000388,22,5,15,5,13,44,129,1,57,80,4,0,0,1,30,0,0,87,15,0,553,62
WBGene00000389,62,71,88,52,45,119,151,81,123,151,133,0,452,0,95,1,108,17,328,55,340,131
WBGene00000390,3870,3400,3443,1851,3005,3740,3993,3148,3627,3966,2352,713,2517,2632,3441,2496,2955,2485,1517,3191,4360,1388
WBGene00000391,632,595,701,284,364,440,483,1070,592,704,1136,0,574,508,218,23,274,54,121,630,555,430
WBGene00000392,610,521,803,445,594,605,670,1237,632,800,1153,0,418,541,248,361,377,195,281,419,797,444
WBGene00000393,802,740,732,454,714,752,788,595,546,566,338,0,1161,2113,1866,2057,907,388,1023,1171,817,126
WBGene00000395,989,986,812,731,1115,970,776,564,480,314,194,12717,1260,430,65,5,349,174,207,454,130,1143
WBGene00000396,1408,1271,1292,1027,1914,1371,1232,756,659,705,325,16433,2423,8439,7940,3029,6203,5011,3020,8302,4570,3580
WBGene00000397,1335,1005,77,21,34,899,915,56,615,1148,20,0,103,0,4,90,294,68,11,288,93,30
WBGene00000399,4006,3704,2464,2104,2801,3471,2922,2638,2330,1555,976,0,4423,3970,1344,326,1381,401,307,1059,71,1509
WBGene00000401,340,334,127,103,202,293,333,82,235,355,38,0,31,223,0,1,155,51,24,184,196,3
WBGene00000402,5795,5125,4369,4357,6539,5394,4648,4235,3642,2839,965,1,3531,1695,552,572,692,52,292,625,47,685
WBGene00000403,2879,2464,2276,1142,3399,2407,2515,1339,2079,2263,908,76695,2932,52850,78445,57275,49943,52211,46933,64681,51132,20432
WBGene00000405,1887,1575,2091,999,1210,2153,2734,2638,2173,2788,2220,0,3243,447,246,276,2092,102,1087,2068,3953,780
WBGene00000406,156,164,193,127,136,154,133,270,117,99,194,6397,120,574,366,73,230,61,322,1061,543,43
WBGene00000407,690,640,666,465,569,661,791,742,708,675,1110,10856,5556,5497,6720,4667,5942,4128,3978,4644,9729,3301
WBGene00000408,910,854,963,476,683,1195,1246,1215,1146,1062,1123,6922,3788,5303,7408,4543,3295,2760,2251,4574,4152,2836
WBGene00000409,722,611,577,384,553,744,747,752,577,503,740,0,7615,7509,17901,9117,10346,13916,7486,12996,18980,5455
WBGene00000410,799,742,774,588,721,900,1005,781,891,860,1059,14362,825,553,839,392,1280,230,405,902,1712,12
WBGene00000411,2112,1941,2095,1049,1332,2144,3051,2000,2375,3170,2018,5079,2148,32,82,22,2115,61,554,1680,5701,58
WBGene00000412,78,49,65,52,29,33,43,68,32,41,52,0,1042,746,454,477,641,192,0,937,211,0
WBGene00000413,509,404,463,234,373,559,706,415,510,560,320,0,395,47,145,34,789,50,341,828,1996,155
WBGene00000414,2169,1830,1297,795,1277,1470,1553,1919,1593,1288,1741,4694,1342,3149,3430,2600,849,1379,1037,1750,1123,1446
WBGene00000415,2073,1655,1017,965,1770,1781,1823,914,1316,1448,406,8367,2241,2407,2391,778,2091,1684,1244,1447,4084,1112
WBGene00000416,733,710,692,413,589,803,1028,654,836,1061,982,0,548,475,219,169,460,168,339,456,906,192
WBGene00000417,658,517,405,300,550,900,1399,350,814,921,207,0,251,22,162,1,437,0,235,246,1440,18
WBGene00000418,512,416,499,312,424,685,755,588,461,555,416,0,557,377,1062,602,659,333,285,704,1448,1
WBGene00000419,1533,1304,837,750,1186,1891,1969,659,1142,1009,420,2600,1334,1831,2568,756,2559,2259,1374,2625,6507,2970
WBGene00000420,851,753,622,603,805,910,1006,723,766,716,785,0,925,741,423,245,638,456,154,568,1980,556
WBGene00000421,3720,3165,2025,1538,2706,4316,4139,1524,2563,2760,668,4,2535,1839,2811,1374,5781,1484,1610,5004,10003,120
WBGene00000422,29,15,13,23,67,22,18,17,29,12,11,0,134,842,365,128,58,347,33,250,303,2017
WBGene00000423,696,574,555,391,616,688,863,545,614,757,590,1,145,144,158,351,275,189,140,342,278,2
WBGene00000424,1848,1582,1474,759,1151,1534,1626,1583,1373,1767,1027,5,327,827,1189,700,441,485,225,508,449,97
WBGene00000425,226,218,224,131,192,197,181,113,123,169,87,0,71,118,255,99,109,219,0,218,187,690
WBGene00000426,874,824,839,469,872,1107,1129,995,1028,779,696,2734,2238,1547,2387,1035,3016,1869,1413,3905,6356,1136
WBGene00000427,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
WBGene00000428,10,13,22,13,27,19,11,31,26,25,21,0,76,0,109,19,7,185,90,6,69,1
WBGene00000429,41,42,21,21,13,26,35,31,28,28,14,0,295,96,54,56,65,98,7,82,38,0
WBGene00000430,32,23,19,10,11,32,35,28,27,37,10,0,394,39,27,13,110,35,90,295,138,6
WBGene00000431,91,120,82,68,127,89,89,69,51,57,61,0,652,1041,195,128,328,94,250,1725,647,590
WBGene00000432,0,0,1,0,2,0,0,2,0,0,0,0,35,13,7,0,2,0,27,9,9,55
WBGene00000433,10,4,1,0,2,4,2,7,0,2,0,70,2,133,97,71,156,223,135,218,85,0
WBGene00000434,22,13,25,12,30,8,23,17,15,12,33,2646,278,893,153,129,329,198,877,496,2667,903
WBGene00000435,25,33,20,17,20,20,29,19,25,15,16,0,244,139,75,0,97,0,10,167,19,0
WBGene00000436,2,1,5,3,8,3,4,4,6,4,9,0,2,303,3,0,77,0,134,280,288,389
WBGene00000437,314,285,343,172,282,280,260,404,256,245,371,2685,240,325,121,212,146,84,102,492,401,12
WBGene00000438,206,160,152,144,227,234,265,92,194,176,93,0,92,2,29,19,50,33,83,11,118,83
WBGene00000439,29,33,10,13,13,5,11,12,6,5,11,0,84,1281,1441,1141,141,447,401,263,989,84
WBGene00000440,9,12,4,0,6,13,8,5,16,12,19,0,0,0,80,0,51,0,75,42,0,0
WBGene00000441,1094,974,745,528,866,998,1009,474,691,774,400,3,651,1775,1886,2543,1841,1700,1853,2280,2439,511
WBGene00000442,50,53,35,31,39,32,35,51,19,26,40,1,726,617,602,393,125,399,41,388,230,447
WBGene00000443,1069,1034,934,730,1107,820,731,835,781,688,767,2,433,2888,2015,2041,2050,4941,2145,2259,1527,1445
WBGene00000444,158,133,116,76,94,129,178,87,91,117,48,1,148,410,194,240,156,8,2,89,261,630
WBGene00000445,183,230,28,4,19,139,142,36,128,59,17,0,212,157,92,0,211,0,95,58,56,0
WBGene00000446,92,70,35,4,49,85,66,40,78,50,51,0,16,382,171,239,814,199,188,869,292,0
WBGene00000447,43,51,55,23,44,41,38,36,36,40,72,0,108,581,44,202,207,53,0,331,103,0
WBGene00000448,256,187,184,60,127,203,165,147,168,165,94,0,18,689,473,251,340,0,136,215,282,0
WBGene00000449,118,76,61,14,40,85,83,43,76,75,47,0,135,1080,1064,981,1498,404,1016,1604,685,0
WBGene00000450,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,79,0,8,1
WBGene00000451,33,36,26,42,56,34,33,39,22,51,50,6217,890,110,142,204,137,78,155,158,110,0
WBGene00000452,39,39,17,12,15,38,23,10,33,19,34,0,531,8633,26966,14525,33769,61776,26784,8536,15464,2591
WBGene00000453,527,474,343,147,302,429,404,257,352,347,189,0,489,228,211,250,483,119,569,523,348,0
WBGene00000454,33,33,15,5,10,26,33,4,20,17,11,0,137,119,218,174,749,0,0,418,76,0
WBGene00000455,189,178,103,22,64,151,117,74,151,123,94,0,450,2975,1109,608,2355,354,465,1193,381,0
WBGene00000457,9,11,5,0,6,10,6,4,10,7,6,0,0,0,115,164,159,0,178,189,20,3
WBGene00000458,480,397,274,33,97,290,285,311,331,366,274,0,384,388,552,500,601,259,0,1132,352,7
WBGene00000459,1639,1260,985,840,1159,1650,2009,920,1393,1321,603,3,1628,1748,1775,899,2433,1571,1425,1729,4811,58
WBGene00000460,94,65,70,46,55,71,119,35,69,101,21,0,149,186,121,183,81,5,1,289,169,6
WBGene00000461,10,10,7,2,3,16,26,2,20,27,12,0,0,0,0,94,33,0,11,0,20,0
WBGene00000462,164,149,145,92,99,151,144,225,126,106,179,0,137,798,80,214,143,112,46,204,151,9
WBGene00000463,160,130,113,74,126,113,130,101,90,79,91,0,111,195,92,66,86,90,129,118,47,0
WBGene00000464,2577,2127,2413,1377,2395,2570,2934,2535,1926,2158,1907,16497,3668,7232,6355,6675,5940,3626,4828,6447,9312,4103
WBGene00000465,2558,1417,997,617,1421,5829,13221,478,5704,7660,269,0,1048,445,155,513,7933,480,7811,1248,54561,366
WBGene00000466,1006,947,938,611,940,1191,1238,1138,1006,869,990,9666,7150,6640,8922,5110,9540,6868,5724,9682,15418,2564
WBGene00000467,699,598,745,368,459,1012,1037,1063,902,801,970,0,1015,47,410,133,1102,432,224,724,2340,201
WBGene00000468,1,1,0,0,2,0,2,2,0,1,0,0,123,4144,4797,2526,1079,2848,2721,4109,611,213
WBGene00000469,1,4,5,6,7,5,3,5,0,0,2,0,0,0,0,0,12,0,0,100,86,0
WBGene00000472,21655,20348,16992,11312,22594,16674,19111,16741,20879,26228,21513,23540,12727,14742,11523,8186,16726,7479,10389,17671,21720,9483
WBGene00000473,7122,5267,5861,2942,3599,13084,20103,7068,16880,20905,13285,0,3986,704,230,584,5399,349,3210,2739,20837,1546
WBGene00000474,4416,3601,4251,1968,2348,7161,9202,5725,8711,9638,8546,0,5237,558,420,489,6029,174,2790,5910,14569,2474
WBGene00000475,23899,22219,22912,11900,16254,19717,24499,26407,21949,30730,33250,20254,13804,7561,5425,4463,15661,3201,5425,15720,14733,9061
WBGene00000476,272,281,212,69,171,238,211,109,205,170,82,0,0,1,1,5,17,79,0,177,46,4
WBGene00000477,223,141,183,62,135,197,149,251,186,155,77,0,83,439,418,5,907,88,311,2000,398,686
WBGene00000478,186,154,122,23,54,135,116,59,85,92,35,0,0,1274,345,714,348,155,115,341,263,248
WBGene00000479,10411,7635,6652,4314,5120,16940,24049,8213,15584,18658,8445,59,7593,2328,1886,1600,17067,1403,5786,13358,49329,333
WBGene00000480,1967,1847,1508,1265,1981,2081,2740,1523,2103,2798,1792,1,1740,2357,2508,1597,3190,910,1776,2026,6736,431
WBGene00000481,201,187,189,128,349,209,206,202,181,124,184,45967,721,8065,34067,23497,35699,18557,30237,28148,39102,2622
WBGene00000482,2959,2666,1901,1829,2823,2481,2344,1859,1692,1581,1214,12354,2623,6545,8043,5100,8936,6584,3929,9492,4656,1778
WBGene00000483,1,1,3,0,0,1,0,1,0,0,6,0,0,43,0,1,0,0,0,0,27,0
WBGene00000484,48,38,27,16,41,54,45,14,26,37,9,0,4,291,0,62,591,0,49,757,206,3
WBGene00000485,270,188,63,54,153,321,282,70,172,234,31,0,393,634,98,42,1266,37,184,689,744,13
WBGene00000487,5,1,1,1,3,9,7,2,4,7,4,0,0,0,0,0,0,37,0,0,9,0
WBGene00000488,95,95,66,12,52,74,64,32,60,50,22,76,122,146,165,141,362,202,243,367,85,1638
WBGene00000490,107,93,71,32,69,77,69,47,55,60,29,7571,13,327,291,168,1569,179,350,2748,449,128
WBGene00000491,129,102,71,36,92,110,83,54,87,55,33,0,77,1899,2655,677,1898,643,498,1160,405,6
WBGene00000492,80,88,156,82,121,57,75,92,66,41,59,0,129,707,191,161,507,239,403,716,430,0
WBGene00000493,401,347,397,294,555,456,340,361,270,373,100,0,1375,1589,455,429,1312,362,110,885,239,1659
WBGene00000496,721,457,438,229,361,1329,2389,346,1047,1134,194,0,1002,906,247,1120,9610,723,5370,2730,47711,40
WBGene00000497,1634,1302,304,101,240,1254,1357,160,836,1615,105,16673,469,955,5454,2079,9968,8283,5038,7515,3141,1741
WBGene00000498,956,895,995,550,763,1070,1395,1181,1027,1278,1319,0,1812,737,393,387,2224,594,1013,2170,3951,644
WBGene00000499,254,259,227,150,157,332,373,249,231,279,200,0,106,21,50,27,238,7,120,303,291,10
WBGene00000500,887,771,945,494,642,985,1173,1410,1040,830,921,7845,2700,4432,4036,3113,3315,2211,2289,2863,5492,2767
WBGene00000501,214,162,243,85,265,174,172,147,133,116,100,11840,661,1942,2395,1653,4449,2240,4742,5432,8251,2784
WBGene00000502,2251,1762,2287,1174,1409,2025,2278,2462,2618,2383,2869,0,5531,7394,11272,9564,6299,6584,3321,5650,4727,4612
WBGene00000503,360,266,77,24,36,189,234,30,210,345,23,0,90,0,0,0,360,10,152,178,133,2
WBGene00000506,268,286,197,138,238,280,273,233,281,239,323,0,1676,2476,2785,1800,2481,2465,1465,3030,2984,1004
WBGene00000507,792,666,522,311,537,851,847,482,671,702,419,7591,626,882,768,319,923,146,161,1388,1987,1063
WBGene00000508,1409,1271,1075,750,1123,1459,1489,890,986,1031,593,1333,951,2006,1736,1413,1913,1080,577,2357,2396,697
WBGene00000509,913,786,930,551,978,1200,1205,899,1021,990,727,0,1113,238,149,0,582,91,267,285,2311,351
WBGene00000510,436,411,605,315,576,368,348,522,316,331,399,16416,3931,11129,11616,8637,7476,5069,5038,9996,5722,6231
WBGene00000511,302,292,229,190,248,357,292,277,236,207,231,0,1616,1366,2181,1158,1308,1016,166,1195,712,846
WBGene00000512,562,528,521,556,521,799,670,600,676,495,395,1,1699,328,326,232,238,252,154,446,617,594
WBGene00000513,1,0,0,0,2,3,3,0,1,3,1,0,0,0,0,0,19,0,0,45,26,0
WBGene00000514,1031,887,1215,851,673,687,677,1419,671,684,1105,0,5474,3198,4697,3593,4087,2823,2500,7045,3390,1975
WBGene00000515,784,723,904,554,680,922,752,1366,782,720,808,0,578,286,262,334,324,281,169,348,407,0
WBGene00000516,670,740,667,459,766,558,555,683,435,481,442,0,582,680,49,53,192,0,0,223,89,19
WBGene00000517,746,667,598,423,593,1027,1177,631,902,1062,644,1,1627,285,206,365,916,142,852,1053,2090,23
WBGene00000518,237,227,258,160,361,200,191,230,170,122,231,0,362,1570,1928,1538,1287,850,1261,2303,2095,1072
WBGene00000519,1057,916,946,546,917,1117,1225,1080,870,1045,911,2154,1526,926,636,534,1304,611,539,1057,2571,76
WBGene00000520,733,637,674,369,508,956,1051,774,810,697,583,0,408,1321,442,738,1089,59,458,628,2268,53
WBGene00000521,184,163,18,13,12,132,121,24,94,91,13,0,55,0,308,265,503,198,0,41,20,0
WBGene00000522,590,608,517,351,522,652,460,575,581,524,476,3107,1602,873,470,627,761,97,248,1138,1239,1765
WBGene00000523,175,170,141,133,177,236,148,244,112,99,76,0,198,126,137,4,224,147,0,91,96,5
WBGene00000524,220,210,266,164,334,194,195,227,232,256,152,5460,122,63,7,415,652,4,187,965,384,114
WBGene00000525,1,1,0,0,4,3,4,1,0,0,2,0,0,11,0,0,6,29,26,2,6,30
WBGene00000526,216,217,240,143,217,213,152,250,163,110,104,0,341,226,98,72,198,181,0,241,88,104
WBGene00000527,1186,968,1241,737,1497,1343,1670,800,1246,1214,448,311727,2888,46804,26157,12344,37630,20583,68170,167432,88619,51487
WBGene00000528,2389,2072,1329,1192,1866,2820,2892,1452,2251,2011,347,0,1356,473,397,234,826,169,384,1244,1586,1593
