,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077651,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
WBGene00077652,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149
WBGene00077653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
WBGene00077654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077656,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00077657,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,10,19,0,0,57
WBGene00077658,197,174,221,158,213,260,269,195,194,203,194,3139,364,204,451,427,619,300,528,689,1040,708
WBGene00077659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00077660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00077663,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00077664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
WBGene00077666,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,31,0,0
WBGene00077667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077669,50,30,22,10,30,39,23,21,23,29,36,0,0,149,67,56,59,5,0,4,48,0
WBGene00077670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077673,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0
WBGene00077674,0,1,2,2,7,1,2,4,0,1,9,0,46,0,0,8,39,35,34,37,22,0
WBGene00077679,4,2,0,0,2,3,0,3,0,0,1,0,0,0,93,0,31,0,85,0,43,1
WBGene00077680,2,4,1,1,2,2,5,4,4,2,8,0,0,0,38,0,23,0,0,23,25,0
WBGene00077681,4,3,0,0,2,3,0,0,0,0,1,0,8,159,91,134,65,171,7,41,23,0
WBGene00077682,8,11,1,6,7,25,31,2,12,5,5,0,10,53,0,0,25,0,8,12,110,0
WBGene00077684,33,30,35,10,7,16,22,32,23,24,32,0,48,1,41,12,2,11,0,11,12,83
WBGene00077685,39,37,41,24,11,100,128,44,75,92,59,0,84,0,1,71,92,0,72,21,231,0
WBGene00077686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
WBGene00077687,0,0,0,0,0,0,0,0,0,0,0,0,7,1,31,0,0,0,0,6,1,1
WBGene00077688,2,0,0,0,0,1,5,0,5,0,0,0,0,0,0,0,0,24,0,1,0,0
WBGene00077689,3,4,6,9,17,2,3,2,3,1,0,0,0,0,0,0,0,0,0,42,7,1
WBGene00077690,573,537,536,323,277,428,518,942,548,518,841,0,533,99,141,52,264,80,125,508,324,562
WBGene00077691,1273,1170,1881,507,961,932,1280,724,687,1163,1508,10092,4270,1761,733,925,2111,1181,1348,2608,3300,0
WBGene00077692,107,75,46,58,57,70,97,41,109,102,72,0,7,26,0,11,59,0,0,72,44,0
WBGene00077693,693,686,430,402,511,636,559,604,741,581,1084,0,317,846,198,229,258,0,112,187,254,308
WBGene00077694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WBGene00077696,39,46,56,26,15,65,86,61,96,85,61,0,251,0,0,0,115,9,28,73,263,1
WBGene00077697,2852,2637,4448,2721,3255,3371,3269,4505,3914,7576,1773,0,2794,197,174,1,599,310,901,905,488,4052
WBGene00077698,9,16,47,18,51,7,10,57,14,11,13,0,106,390,157,20,542,98,221,457,176,0
WBGene00077699,14,10,2,6,12,37,48,4,40,18,13,2329,97,624,1420,1133,434,2000,804,496,716,303
WBGene00077701,649,857,510,284,565,636,552,1076,594,431,407,0,3733,16572,12723,7343,2998,3269,1184,1829,2641,471
WBGene00077703,1,1,0,2,2,6,1,2,0,0,2,0,179,119,165,34,38,0,12,90,10,0
WBGene00077704,0,1,33,38,22,1,4,24,0,1,7,0,164,161,117,48,41,236,20,113,175,525
WBGene00077705,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077706,0,0,0,3,1,0,0,0,1,1,0,0,10,2,9,0,0,0,12,0,21,0
